ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
BBNI,11189193875.0,Lebih dari 5%,Negara Republik Indonesia,True,60.0
BBRI,70000000000.0,Lebih dari 5%,Negara Republik Indonesia,True,56.75
BBRM,1600000000.0,Lebih dari 5%,NAM CHEONG PIONEER SDN BHD,True,29.8
BBSI,452150000.0,Lebih dari 5%,PT Sun Antarnusa Investment,False,17.18
BBSS,3499950000.0,Lebih dari 5%,PT Agung Alam Anugrah,True,72.9156
BBTN,6354000000.0,Lebih dari 5%,Negara Republik Indonesia,True,60.0
BBYB,1340760958.0,Lebih dari 5%,PT GOZCO CAPITAL,True,20.13
BCAP,21228044760.0,Lebih dari 5%,PT MNC Investama Tbk,True,53.79
BCIC,8679045483.0,Lebih dari 5%,"J Trust Co., Ltd.",True,86.685
BCIP,327284100.0,Lebih dari 5%,PT. Bumi Citra Investindo,True,22.89
BDMN,9038053192.0,Lebih dari 5%,"MUFG Bank, Ltd (secara langsung dan tidak langsung)",True,92.47
BEEF,980670046.0,Lebih dari 5%,PT Tigatunggal Adimulya,True,52.04
BEKS,32697547684.0,Lebih dari 5%,PT. Banten Global Development,True,51.0
BELL,5692500000.0,Lebih dari 5%,PT Trisula International Tbk,True,78.52
BESS,2695947180.0,Lebih dari 5%,PT Batulicin Enam Sembilan Transportasi,True,79.29
BEST,3600700800.0,Lebih dari 5%,PT Argo Manunggal Land Development,True,37.32
BFIN,6835249660.0,Lebih dari 5%,TRINUGRAHA CAPITAL & CO SCA,False,42.81
BGTG,3336410000.0,Lebih dari 5%,PT Equity Development Investment Tbk,True,29.86
BHAT,2700000000.0,Lebih dari 5%,PT Nasional Niaga Abadi,True,54.0
BHIT,13238835716.0,Lebih dari 5%,HT Investment Development Ltd,True,19.74
BIKA,200912700.0,Lebih dari 5%,Go Hengky Setiawan,True,33.92
BIMA,526475716.0,Lebih dari 5%,PT. GOLDEN LESTARI,True,86.56
BINA,593387750.0,Lebih dari 5%,DBS BANK LTD S/A LTSL AS TRUSTEE OF NS FINANCIAL FUND,False,10.49
BIPI,13646680813.0,Lebih dari 5%,PT INDOTAMBANG PERKASA,True,30.53
BIPP,3595072195.0,Lebih dari 5%,Safire Capital PTE Ltd,True,71.49
BIRD,145744700.0,Lebih dari 5%,Indra Priawan Djokosoetono ,True,5.8
BISI,930000000.0,Lebih dari 5%,PT Agrindo Pratama,True,31.0
BJBR,3756415785.0,Lebih dari 5%,PEMDA PROVINSI JAWA BARAT,True,38.18
BJTM,7676913648.0,Lebih dari 5%,Pemda Tingkat I Provinsi Jawa Timur,True,51.127
BKDP,2600000000.0,Lebih dari 5%,PT. ADHIBALARAJA ,False,35.0
BKSL,35338370746.0,Lebih dari 5%,PT. SAKTI GENERASI PERDANA,True,52.68
BKSW,18900786704.0,Lebih dari 5%,Qatar National Bank (Q.P.S.C.),True,92.48
BLTA,0.0,Lebih dari 5%,Citibank Singapore S/A CBSG-CDP-Indonesia,False,0.0
BLTZ,349574856.0,Lebih dari 5%,Coree Capital Limted,False,40.0
BLUE,102500000.0,Lebih dari 5%,Herman Tansri,True,24.52
BMAS,2755359197.0,Lebih dari 5%,PT Alim Investindo,True,62.01
BMRI,28000000000.0,Lebih dari 5%,Negara Republik Indonesia,True,60.0
BMSR,823199832.0,Lebih dari 5%,Chance Stand Finance Limited ,True,71.01
BMTR,7480817500.0,Lebih dari 5%,"MNC INVESTAMA TBK, PT",True,49.99
BNBA,1050000000.0,Lebih dari 5%,PT Surya Husada Investment,True,45.45
BNBR,7087227300.0,Lebih dari 5%,FOUNTAIN CITY INVESTMENT LTD,False,33.97
BNGA,22991336581.0,Lebih dari 5%,CIMB Group Sdn Bhd,True,91.48
BNII,34312479550.0,Lebih dari 5%,SORAK FINANCIAL HOLDINGS PTE LTD ,True,45.0205
BNLI,24991429332.0,Lebih dari 5%,Bangkok Bank Public Company Limited,True,89.12
BOGA,0.0,Lebih dari 5%,PT Delta Indo Swakarsa,False,0.0
