ticker,Nama,Jabatan,Afiliasi
DNET,Haliman Kustedjo,DIREKTUR UTAMA,True
DOID,Hagianto Kumala,DIREKTUR UTAMA,True
DPNS,Siang Hadi Widjaja,DIREKTUR UTAMA,True
DPUM,Witiarso Utomo,DIREKTUR UTAMA,True
DSFI,Ewijaya,DIREKTUR UTAMA,True
DSNG,ANDRIANTO OETOMO,DIREKTUR UTAMA,True
DSSA,Lay Krisnan Cahya,PRESIDEN DIREKTUR,True
DUCK,Limpa Itsin Bachtiar,DIREKTUR UTAMA,False
DUTI,Teky Mailoa,DIREKTUR UTAMA,False
DVLA,Marlia Hayati Goestam,PRESIDEN DIREKTUR,True
DWGL,Herman Fasikhin,DIREKTUR UTAMA,True
DYAN,Gabriel Maryamto Sunu,DIREKTUR UTAMA,True
EAST,Khalid bin Omar Abdat,PRESIDEN DIREKTUR,True
ECII,Wiradi,DIREKTUR UTAMA,True
EKAD,JUDI WIDJAJA LEONARDI,DIREKTUR UTAMA,True
ELSA,Ali Mundakir,DIREKTUR UTAMA,True
ELTY,Ambono Janurianto,PRESIDEN DIREKTUR,False
EMDE,LORA MELANI LOWAS BARAK RIMBA,DIREKTUR UTAMA,True
EMTK,Alvin W. Sariaatmadja,DIREKTUR UTAMA,True
ENRG,Syailendra S. Bakrie,DIREKTUR UTAMA,True
ENVY,Mohd Nadzaruddin Bin Abd Hamid,DIREKTUR UTAMA,True
EPAC,Bahar,DIREKTUR UTAMA,True
EPMT,Djonny Hartono Tjahyadi,PRESIDEN DIREKTUR,True
ERAA,Andreas Harun Djumadi,DIREKTUR,True
ERTX,Marissa Jeanne Maren,DIREKTUR UTAMA,True
ESIP,Eric Budisetio Kurniawan,DIREKTUR UTAMA,True
ESSA,Chander Vinod Laroya,PRESIDEN DIREKTUR,True
ESTA,Lukman Nelam,DIREKTUR UTAMA,True
ESTI,Michael Sung,DIREKTUR,False
ETWA,Lie Kiong,PRESIDEN DIREKTUR,False
EXCL,Dian Siswarini ,PRESIDEN DIREKTUR,True
FAST,Ricardo Gelael,DIREKTUR UTAMA,True
FASW,Peerapol Mongkolsilp,DIREKTUR UTAMA,True
FILM,Manoj Dhamoo Punjabi,DIREKTUR UTAMA,True
FINN,Sumartono Mardjuki,PRESIDEN DIREKTUR,True
FIRE,Aris Munandar,DIREKTUR UTAMA,False
FISH,Lucy Tjahjadi,DIREKTUR,True
FITT,Joni Rizal,DIREKTUR UTAMA,False
FMII,Tjandra Mindharta Gozali,PRESIDEN DIREKTUR,True
FOOD,Agustus Sani Nugroho,DIREKTUR UTAMA,True
FORU,SATRIO,DIREKTUR UTAMA,True
FORZ,Erick Satria,DIREKTUR UTAMA,True
FPNI,KANG JONGWON,DIREKTUR UTAMA,True
FREN,Merza Fachys,PRESIDEN DIREKTUR,True
FUJI,Anita Marta,DIREKTUR UTAMA,True
GAMA,Budiawan Lebar,DIREKTUR UTAMA,True
GDST,Tetsuro Okano,DIREKTUR UTAMA,False
GDYR,RANDEEP SINGH KANWAR,PRESIDEN DIREKTUR,True
GEMA,DEDY ROCHIMAT,DIREKTUR UTAMA,False
GEMS,Bonifasius,PRESIDEN DIREKTUR,True
GGRM,Susilo Wonowidjojo,PRESIDEN DIREKTUR,True
GGRP,Abednedju Giovano Warani Sangkaeng,PRESIDEN DIREKTUR,True
GGST,,,
GHON,Rudolf Parningotan Nainggolan,DIREKTUR UTAMA,True
GIAA,Irfan Setiaputra,DIREKTUR UTAMA,True
GJTL,Sugeng Rahardjo,PRESIDEN DIREKTUR,True
GLOB,Sugiono Wiyono Sugialam,DIREKTUR UTAMA,False
GLVA,Oki Widjaja,DIREKTUR UTAMA,True
GMFI,I Wayan Susena,DIREKTUR UTAMA,True
GMTD,H. Andi Anzhar Cakra Wijaya,PRESIDEN DIREKTUR,True
GOLD,Paulus Ridwan Purawinata,DIREKTUR UTAMA,False
GOLL,Budhi Istanto Suwito,DIREKTUR UTAMA,True
GOOD,Hardianto Atmadja,DIREKTUR UTAMA,False
GPRA,Arvin F Iskandar,DIREKTUR UTAMA,True
GREN,Laksamana Muda Franklin William Kayhatu,DIREKTUR UTAMA,False
GRHA,Indah Mardiani,DIREKTUR UTAMA,True
GSMF,Muhamad Zulkifli Abusuki,PRESIDEN DIREKTUR,True
GTBO,Ratendra Kumar Srivastva,PRESIDEN DIREKTUR,True
GWSA,Paulus Indra Intan,DIREKTUR UTAMA,False
GZCO,Kreisna Dewantara Gozali,PRESIDEN DIREKTUR,True
HADE,Piter Rasiman,DIREKTUR UTAMA,True
HDFA,Evy Indahwaty,DIREKTUR UTAMA,True
HDIT,Hendra David,DIREKTUR UTAMA,True
HDTX,Enrico Haryono,DIREKTUR UTAMA,False
HEAL,Hasmoro,DIREKTUR UTAMA,False
HELI,Edwin Widjaja,DIREKTUR UTAMA,False
HERO,Ingemar Patrik Lindvall,PRESIDEN DIREKTUR,True
HEXA,Ir Djonggi TP. Gultom,PRESIDEN DIREKTUR,True
HITS,Budi Haryono,DIREKTUR UTAMA,False
HKMU,Ngasidjo Achmad,DIREKTUR UTAMA,True
HMSP,Mindaugas Trumpaitis,PRESIDEN DIREKTUR,False
HOKI,SUKARTO BUJUNG,DIREKTUR UTAMA,True
HOME,Bayu Widia Prakoso,DIREKTUR UTAMA,True
HOMI,Velliana Tanaya,DIREKTUR UTAMA,True
HOTL,Tubagus Yudi Yuniardi,DIREKTUR UTAMA,True
HRME,Christofer Wibisono,DIREKTUR UTAMA,True
HRTA,Sandra Sunanto,PRESIDEN DIREKTUR,True
HRUM,Ray Antonio Gunara,DIREKTUR UTAMA,True
IATA,Henry Suparman,PRESIDEN DIREKTUR,False
IBFN,Carolina Dina Rusdiana,DIREKTUR UTAMA,False
IBST,Andrie Tjioe,DIREKTUR UTAMA,False
ICBP,Anthoni Salim,DIREKTUR UTAMA,False
ICON,OCTAVIANUS KUNTJORO,DIREKTUR,True
IDPR,Febyan,PRESIDEN DIREKTUR,True
IFII,Heffy Hartono,DIREKTUR UTAMA,True
IFSH,Oei Harry Fong Jaya,PRESIDEN DIREKTUR,True
IGAR,ANTONIUS MUHARTOYO,DIREKTUR UTAMA,True
IIKP,SUSANTI HIDAYAT,DIREKTUR UTAMA,True
IKAI,Zaenal Asikin,DIREKTUR,False
IKAN,Johan Rose,DIREKTUR UTAMA,True
IKBI,Sigetoshi Sasaki,DIREKTUR UTAMA,True
IMAS,Jusak Kertowidjojo,DIREKTUR UTAMA,False
IMJS,Jusak Kertowidjojo,DIREKTUR UTAMA,True
IMPC,Lindawati,DIREKTUR,True
INAF,Arief Pramuhanto,DIREKTUR UTAMA,True
INAI,Alim Markus,PRESIDEN DIREKTUR,False
INCI,Tazran Tanmizi,DIREKTUR UTAMA,True
INCO,Nicolas D. Kanter,PRESIDEN DIREKTUR,True
INDF,Anthoni Salim,DIREKTUR UTAMA,False
INDO,Leslie Soemedi,DIREKTUR UTAMA,False
INDR,V S Baldwa,PRESIDEN DIREKTUR,True
INDS,IKAWATI NURHADI,DIREKTUR UTAMA,True
INDX,Harun Bin Halim Rasip,DIREKTUR UTAMA,True
INDY,M. Arsjad Rasjid P.M.,DIREKTUR UTAMA,True
INKP,Hendra Jaya Kosasih,PRESIDEN DIREKTUR,True
INOV,Jaehyuk Choi,DIREKTUR UTAMA,True
INPC,Andy Kasih,DIREKTUR UTAMA,False
INPP,Agoes Soelistyo Santoso,PRESIDEN DIREKTUR,False
INPS,EDDY PURWANTO WINATA,DIREKTUR UTAMA,True
INRU,Vinod Kesavan,DIREKTUR UTAMA,False
INSA,,,
INTA,Petrus Halim,DIREKTUR UTAMA,True
INTD,Joe Marco Lesmana,DIREKTUR UTAMA,True
INTP,Christian Kartawijaya,DIREKTUR UTAMA,True
IPCC,Ari Henryanto,DIREKTUR UTAMA,True
IPCM,AMRI YUSUF,DIREKTUR UTAMA,True
IPOL,Henry Halim ,PRESIDEN DIREKTUR,True
IPTV,Ade Tjendra,DIREKTUR UTAMA,True
IRRA,Heru Firdausi Syarif,DIREKTUR UTAMA,True
ISAT,Ahmad Abdulaziz A A Al-Neama,DIREKTUR UTAMA,True
ISSP,Ibnu Susanto,DIREKTUR UTAMA,False
ITIC,Djonny Saksono,DIREKTUR UTAMA,True
ITMA,Rocky Oktanso Sugih,PRESIDEN DIREKTUR,True
ITMG,Mulianto,DIREKTUR UTAMA,True
JAST,Welly Kosasih,WAKIL DIREKTUR UTAMA,True
JAWA,Harijadi Soedarjo,DIREKTUR UTAMA,True
JAYA,Darmawan Suryadi SM,DIREKTUR UTAMA,True
JECC,Santoso,PRESIDEN DIREKTUR,False
JGLE,Hamid Mundzir,DIREKTUR UTAMA,False
JIHD,Hartono Tjahjadi Adiwana,PRESIDEN DIREKTUR,False
JKON,Sutopo Kristanto,PRESIDEN DIREKTUR,True
JKSW,Harry Lasmono Hartawan,DIREKTUR UTAMA,False
JMAS,H. Ibrahim,DIREKTUR UTAMA,True
JPFA,Handojo Santosa,DIREKTUR UTAMA,True
JRPT,Trisna Muliadi ,DIREKTUR UTAMA,True
JSKY,Kurniadi Widyanta,DIREKTUR UTAMA,True
JSMR,Donny Arsal,DIREKTUR,True
JSPT,Jefri Darmadi,PRESIDEN DIREKTUR,True
JTPE,"Oei, Allan Wibisono",DIREKTUR UTAMA,True
KAEF,Verdi Budidarmo,DIREKTUR UTAMA,True
KARW,Romeo Andres Salvador,DIREKTUR UTAMA,True
KAYU,"Nanang Sumartono H, SH",DIREKTUR UTAMA,True
KBAG,Nicholas Sumasto,DIREKTUR UTAMA,True
KBLI,MARCELLO THEODORE TAUFIK,PRESIDEN DIREKTUR,True
KBLM,Elly Soepono,PRESIDEN DIREKTUR,False
KBLV,Harianda Noerlan,PRESIDEN DIREKTUR,False
KBRI,Sonie Budi Wijaya,DIREKTUR UTAMA,True
KDSI,Permadi Al Suharto,PRESIDEN DIREKTUR,True
KEEN,Henry Maknawi,DIREKTUR UTAMA,True
KEJU,Sandjaya Rusli,DIREKTUR UTAMA,True
KIAS,Anusorn Potchanabanpot,DIREKTUR UTAMA,False
KICI,Ir. Ratna Setyakusuma,PRESIDEN DIREKTUR,True
KIJA,TEDJO BUDIANTO LIMAN,DIREKTUR UTAMA,False
KINO,Harry Sanusi,PRESIDEN DIREKTUR,True
KIOS,Reginald Trisna,DIREKTUR UTAMA,True
KJEN,Dewi Prasetyaningsih,DIREKTUR UTAMA,False
KKGI,Pintarso Adijanto,DIREKTUR UTAMA,True
KLBF,Vidjongtius,PRESIDEN DIREKTUR,True
KMDS,Hengky Wijaya,DIREKTUR UTAMA,True
KMTR,Martinus Subandi Sinarya,DIREKTUR UTAMA,True
KOBX,Humas Soputro,Direktur Utama,False
KOIN,Wichai Pokinwong,DIREKTUR UTAMA,True
KONI,SUGIANTO KOLIM,PRESIDEN DIREKTUR,False
KOPI,Ivo Wongkaren,DIREKTUR UTAMA,False
KOTA,Mohamad Prapanca,DIREKTUR UTAMA,True
KPAL,Rudy Kurniawan Logam,DIREKTUR UTAMA,True
KPAS,Marting Djapar,DIREKTUR UTAMA,True
KPIG,Hary Tanoesoedibjo,DIREKTUR UTAMA,False
KRAH,JOHANES BUDI KARTIKA,DIREKTUR UTAMA,True
KRAS,Silmy Karim,DIREKTUR UTAMA,False
KREN,Michael Steven,DIREKTUR UTAMA,True
LAND,Suryadi,DIREKTUR UTAMA,False
LAPD,Risming Andyanto,DIREKTUR UTAMA,True
LCGP,"Dr. Ir. Lukman Purnomosidi, MBA",DIREKTUR UTAMA,True
LCKM,Lim Kah Hock,DIREKTUR UTAMA,True
LEAD,Eddy Kurniawan Logam,PRESIDEN DIREKTUR,False
LIFE,Wianto,DIREKTUR UTAMA,True
LINK,Marlo Budiman,PRESIDEN DIREKTUR,True
LION,Cheng Yong Kim,DIREKTUR UTAMA,False
LMAS,Ibin Bachtiar,DIREKTUR UTAMA,True
LMPI,Hidayat Alim,DIREKTUR UTAMA,False
LMSH,Tjoe Tjoe Peng (Lawer Supendi),DIREKTUR UTAMA,False
LPCK,Sie Subiyanto,PRESIDEN DIREKTUR,True
LPGI,Agus Benjamin,PRESIDEN DIREKTUR,True
LPIN,Eddy Harsono Handoko,PRESIDEN DIREKTUR,True
LPKR,Ketut Budi Wijaya,PRESIDEN DIREKTUR,True
LPLI,Lukman Djaja,PRESIDEN DIREKTUR,True
LPPF,Bunjamin Jonatan Mailool,PRESIDEN DIREKTUR,True
LPPS,Rizal Paramarta,PRESIDEN DIREKTUR,True
LRNA,Soerbakti Gusti Terkelin,PRESIDEN DIREKTUR,False
LSIP,Benny (Benny Tjoeng),PRESIDEN DIREKTUR,False
LTLS,Indrawan Masrin,PRESIDEN DIREKTUR,True
LUCK,Josephine Handayani Hidajat,DIREKTUR UTAMA,False
MABA,Adrian Bramantyo,DIREKTUR UTAMA,False
MAGP,Petrus Tjandra,DIREKTUR UTAMA,True
MAIN,TAN SRI LAU TUANG NGUANG,PRESIDEN DIREKTUR,True
MAMI,Djaja Santoso,DIREKTUR UTAMA,True
MAPA,Michael David Capper,DIREKTUR UTAMA,True
MAPB,Anthony Cottan,DIREKTUR UTAMA,True
MAPI,H.B.L. Mantiri,PRESIDEN DIREKTUR,False
MARI,Adrian Syarkawie,DIREKTUR UTAMA,True
MARK,RIDWAN,PRESIDEN DIREKTUR,True
MASA,Steven Gommert Vette,PRESIDEN DIREKTUR,True
MAYA,Hariyono Tjahjarijadi,DIREKTUR UTAMA,False
MBAP,WIDADA,DIREKTUR UTAMA,True
MBSS,Carla Susana Iria Germino,DIREKTUR UTAMA,True
MBTO,Bryan David Emil,DIREKTUR UTAMA,False
MCAS,Martin Suharlie,DIREKTUR UTAMA,True
MCOR,You Wennan,DIREKTUR UTAMA,False
MDIA,Arief Yahya,DIREKTUR UTAMA,True
MDKA,Tri Boewono,PRESIDEN DIREKTUR,True
MDKI,Hiskak Secakusuma,DIREKTUR UTAMA,True
MDLN,William Honoris,DIREKTUR UTAMA,False
MDRN,Sungkono Honoris,DIREKTUR UTAMA,True
MEDC,Hilmi Panigoro,DIREKTUR UTAMA,True
MEGA,Kostaman Thayib,DIREKTUR UTAMA,True
MERK,Evie Yulin,PRESIDEN DIREKTUR,True
META,Muhammad Ramdani Basri ,DIREKTUR UTAMA,True
MFIN,Harryjanto Lasmana,DIREKTUR UTAMA,True
MFMI,Sylvia Lestariwati F K,PRESIDEN DIREKTUR,True
MGNA,Susilowati,DIREKTUR UTAMA,True
MGRO,Usli,DIREKTUR UTAMA,True
MICE,Anthony Honoris,DIREKTUR UTAMA,True
MIDI,Rullyanto,PRESIDEN DIREKTUR,False
MIKA,RUSTIYAN OEN,DIREKTUR UTAMA,True
MINA,Ifiandiaz Naszir,DIREKTUR UTAMA,False
MIRA,WIRAWAN HALIM,DIREKTUR UTAMA,True
MITI,SUGI HANDOKO,PRESIDEN DIREKTUR,True
MKNT,Jefri Junaedi,DIREKTUR UTAMA,False
MKPI,Ir. Husin Widjajakusuma ,PRESIDEN DIREKTUR,True
MLBI,Sandra Asher Pattenden,DIREKTUR,True
MLIA,Eka Tjandranegara,DIREKTUR UTAMA,False
MLPL,Adrian Suherman,PRESIDEN DIREKTUR,True
