ticker,AkhirPeriode,KAP1,Nama,SigningPartner,TahunBuku,TanggalTahunBuku,TglOpini
TRUK,1911-01-01T00:00:00,,"Johan, Malonda, Mustika & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TRUS,,,,,,,
TSPC,,,,,,,
TUGU,,,,,,,
TURI,,,,,,,
UANG,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2020-01-31T00:00:00,1911-01-01T00:00:00
UCID,1911-01-01T00:00:00,,"Tanuderedja, Wibisana, Rintis & Rekan",,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
ULTJ,,,,,,,
UNIC,,,,,,,
UNIT,,,,,,,
UNSP,,,,,,,
UNTR,,,,,,,
UNVR,,,,,,,
URBN,,,,,,,
VICO,,,,,,,
VINS,,,,,,,
VIVA,,,,,,,
VOKS,,,,,,,
VRNA,,,,,,,
WAPO,,,,,,,
WEGE,,,,,,,
WEHA,,,,,,,
WICO,,,,,,,
WIIM,,,,,,,
WIKA,,,,,,,
WINS,,,,,,,
WOMF,,,,,,,
WOOD,,,,,,,
WOWS,1911-01-01T00:00:00,,KAP Ayub & Elvi,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
WSBP,,,,,,,
WSKT,,,,,,,
WTON,,,,,,,
YELO,1911-01-01T00:00:00,,Morhan & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
YPAS,,,,,,,
YULE,,,,,,,
ZADI,,,,,,,
ZBRA,,,,,,,
ZINC,,,,,,,
ZONE,1911-01-01T00:00:00,,"Teramihardja, Pradhono & Chandra",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
