ticker,AkhirPeriode,KAP1,Nama,SigningPartner,TahunBuku,TanggalTahunBuku,TglOpini
CENT,,,,,,,
CFIN,,,,,,,
CINT,,,,,,,
CITA,,,,,,,
CITY,,,,,,,
CLAY,,,,,,,
CLEO,,,,,,,
CLPI,,,,,,,
CMNP,,,,,,,
CMPP,,,,,,,
CNKO,,,,,,,
CNTX,,,,,,,
COCO,1911-01-01T00:00:00,,Tjahjadi & Tamara,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
COWL,,,,,,,
CPIN,,,,,,,
CPRI,,,,,,,
CPRO,,,,,,,
CSAP,,,,,,,
CSIS,,,,,,,
CSMI,1911-01-01T00:00:00,,"Hadori, Sugiarto, Adi & Rekan",,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
CSRA,1911-01-01T00:00:00,,"Johan, Malonda, Mustika & Rekan",,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
CTBN,,,,,,,
CTRA,,,,,,,
CTTH,,,,,,,
DADA,1911-01-01T00:00:00,,"Gideon, Adi & Rekan",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
DART,,,,,,,
DAYA,,,,,,,
DEAL,,,,,,,
DEFI,,,,,,,
DEWA,,,,,,,
DFAM,1911-01-01T00:00:00,,Morhan & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
DGIK,,,,,,,
DIGI,,,,,,,
DILD,,,,,,,
DIVA,,,,,,,
DKFT,,,,,,,
DLTA,,,,,,,
DMAS,,,,,,,
DMMX,,,,,,,
DMND,1911-01-01T00:00:00,,Siddharta & Widjaja,,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
DNAR,,,,,,,
DNET,,,,,,,
DOID,,,,,,,
DPNS,,,,,,,
DPUM,,,,,,,
DSFI,,,,,,,
DSNG,,,,,,,
DSSA,,,,,,,
DUCK,,,,,,,
DUTI,,,,,,,
DVLA,,,,,,,
DWGL,,,,,,,
DYAN,,,,,,,
EAST,1911-01-01T00:00:00,,KAP Sandra Pracipta,,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
ECII,,,,,,,
EKAD,,,,,,,
ELSA,,,,,,,
ELTY,,,,,,,
EMDE,,,,,,,
EMTK,,,,,,,
ENRG,,,,,,,
ENVY,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
EPAC,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
EPMT,,,,,,,
ERAA,,,,,,,
ERTX,,,,,,,
ESIP,,,,,,,
ESSA,,,,,,,
ESTA,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-08-31T00:00:00,1911-01-01T00:00:00
ESTI,,,,,,,
ETWA,,,,,,,
EXCL,,,,,,,
FAST,,,,,,,
FASW,,,,,,,
FILM,,,,,,,
FINN,1911-01-01T00:00:00,,Gatot Permadi Juwono,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
FIRE,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
FISH,,,,,,,
FITT,1911-01-01T00:00:00,,"Chaeroni, Drs., & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
FMII,,,,,,,
FOOD,,,,,,,
FORU,,,,,,,
FORZ,1911-01-01T00:00:00,,"Jamaludin, Ardi, Sukimto & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
FPNI,,,,,,,
FREN,,,,,,,
FUJI,,,,,,,
GAMA,,,,,,,
GDST,,,,,,,
GDYR,,,,,,,
GEMA,,,,,,,
GEMS,,,,,,,
GGRM,,,,,,,
GGRP,,,,,,,
GGST,,,,,,,
GHON,,,,,,,
GIAA,,,,,,,
GJTL,,,,,,,
GLOB,,,,,,,
GLVA,1911-01-01T00:00:00,,Anwar & Rekan,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
