No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
17,63119,2015-01-02T00:00:00,BISNIS-27,456.891,459.24,457.424,458.986,27.0,2.095,481254268.0,2264283130630.0,46740.0,2743886930288160.0,2015
18,63120,2015-01-02T00:00:00,PEFINDO25,487.033,490.517,486.702,487.997,25.0,0.964,202682500.0,218762849200.0,13141.0,170129837169310.0,2015
19,63121,2015-01-02T00:00:00,SRI-KEHATI,299.564,301.064,299.709,300.598,25.0,1.034,383951259.0,2020257081590.0,38281.0,2544962156115640.0,2015
20,63122,2015-01-02T00:00:00,ISSI,168.638,169.422,168.78,169.23,316.0,0.592,3528763823.0,3337246201015.0,112209.0,2957176388354240.0,2015
21,63123,2015-01-02T00:00:00,IDX30,461.621,464.083,462.075,463.554,30.0,1.933,686703309.0,2578316127690.0,52752.0,2992687610172060.0,2015
22,63124,2015-01-02T00:00:00,INFOBANK15,563.17,565.775,561.49,565.03,15.0,1.86,276807205.0,791655466425.0,8816.0,1131679376032360.0,2015
23,63125,2015-01-02T00:00:00,SMinfra18,370.784,372.56,369.989,370.298,18.0,-0.486,244579677.0,634407442590.0,24400.0,977136388422460.0,2015
24,63126,2015-01-02T00:00:00,MNC36,283.282,284.975,283.599,284.781,36.0,1.499,709213745.0,2662952947440.0,59660.0,3008525105282480.0,2015
25,63127,2015-01-02T00:00:00,Investor33,371.923,373.93,372.373,373.774,33.0,1.851,646450562.0,2207982115530.0,49820.0,2717872295959940.0,2015
1,63153,2015-01-05T00:00:00,COMPOSITE,5242.769,5233.66,5206.285,5219.995,507.0,-22.774,6428459985.0,5507595673547.0,223840.0,5220955237394890.0,2015
2,63154,2015-01-05T00:00:00,AGRI,2367.086,2369.717,2321.438,2322.258,21.0,-44.828,347277372.0,218562961100.0,19150.0,159801167085674.0,2015
3,63155,2015-01-05T00:00:00,MINING,1368.873,1370.121,1344.898,1356.715,41.0,-12.158,874615261.0,209560233750.0,20608.0,252761959365035.0,2015
4,63156,2015-01-05T00:00:00,BASIC-IND,541.833,542.85,538.274,541.517,65.0,-0.316,624650301.0,404526673127.0,34659.0,380123600936365.0,2015
5,63157,2015-01-05T00:00:00,MISC-IND,1300.555,1297.169,1274.173,1274.173,41.0,-26.382,194553000.0,181691898000.0,8982.0,363123504084636.0,2015
6,63158,2015-01-05T00:00:00,CONSUMER,2205.275,2217.941,2182.747,2217.206,37.0,11.931,101025927.0,498795581640.0,14272.0,1023295823513100.0,2015
7,63159,2015-01-05T00:00:00,PROPERTY,532.963,533.887,530.468,532.765,54.0,-0.198,1324120023.0,1691407439107.0,40948.0,365393388418388.0,2015
8,63160,2015-01-05T00:00:00,INFRASTRUC,1156.63,1153.525,1146.458,1150.403,51.0,-6.227,1917558431.0,763776254745.0,32581.0,736882459151081.0,2015
9,63161,2015-01-05T00:00:00,FINANCE,733.319,733.928,729.202,731.289,85.0,-2.03,348459814.0,764765826770.0,20049.0,1316901150339660.0,2015
10,63162,2015-01-05T00:00:00,TRADE,881.191,880.709,872.876,874.885,112.0,-6.306,696199856.0,774508805308.0,32591.0,622672184500943.0,2015
11,63163,2015-01-05T00:00:00,MANUFACTUR,1340.496,1340.645,1327.695,1337.013,143.0,-3.483,920229228.0,1085014152767.0,57913.0,1766542928534100.0,2015
12,63164,2015-01-05T00:00:00,LQ45,903.13,900.853,895.362,898.27,45.0,-4.86,1055375650.0,3190467456315.0,103062.0,3336274462840950.0,2015
13,63165,2015-01-05T00:00:00,JII,694.473,693.008,688.092,689.087,30.0,-5.386,725868331.0,1998158567560.0,74321.0,1939038463243140.0,2015
14,63166,2015-01-05T00:00:00,MBX,1513.454,1510.064,1501.844,1508.218,255.0,-5.236,4095517390.0,4659245169087.0,167612.0,4665939967151340.0,2015
15,63167,2015-01-05T00:00:00,DBX,716.439,718.476,707.909,708.415,252.0,-8.024,2332942595.0,848350504460.0,56228.0,555015270243546.0,2015
16,63168,2015-01-05T00:00:00,KOMPAS100,1149.639,1147.137,1139.963,1143.348,100.0,-6.291,3039022015.0,4002473454962.0,150902.0,3759666638313110.0,2015
17,63169,2015-01-05T00:00:00,BISNIS-27,458.986,457.705,454.721,456.435,27.0,-2.551,544966424.0,2280445691325.0,70117.0,2728636467756480.0,2015
18,63170,2015-01-05T00:00:00,PEFINDO25,487.997,484.893,479.269,484.425,25.0,-3.572,318300094.0,315762267627.0,24363.0,168884347438682.0,2015
19,63171,2015-01-05T00:00:00,SRI-KEHATI,300.598,299.988,298.103,298.607,25.0,-1.991,414552201.0,1967412477990.0,51263.0,2528107226069540.0,2015
